term,documentFrequency,termFrequency,score,sourceIds
mass sarcopenia,2,2,4.0,BK0304;BK0329
mass spectrometer,2,2,4.0,BK0159;BK0337
mass spectrometers,2,2,4.0,BK0274;BK0337
matched controls,2,2,4.0,BK0003;BK0020
matrix metalloproteinase,2,2,4.0,BK0149;BK0242
matrix protein,2,2,4.0,BK0150;BK0181
mechanism cancer,2,2,4.0,BK0048;BK0209
mechanisms driving,2,2,4.0,BK0005;BK0191
mediator protein,2,2,4.0,BK0110;BK0134
membrane potential,2,2,4.0,BK0109;BK0300
memory cd4,2,2,4.0,BK0015;BK0080
metabolic changes,2,2,4.0,BK0065;BK0136
metabolic features,2,2,4.0,BK0008;BK0174
metabolic processes,2,2,4.0,BK0020;BK0221
metabolic reprogramming,2,2,4.0,BK0174;BK0203
metabolism cancer,2,2,4.0,BK0202;BK0212
metabolism proteins,2,2,4.0,BK0070;BK0351
metabolites key,2,2,4.0,BK0017;BK0023
metalloproteinase mmp9,2,2,4.0,BK0149;BK0242
metastases colorectal,2,2,4.0,BK0113;BK0123
metastatic prostate,2,2,4.0,BK0211;BK0321
methylation regulates,2,2,4.0,BK0252;BK0319
mhc binding,2,2,4.0,BK0341;BK0371
mhc molecules,2,2,4.0,BK0361;BK0365
migration invasion,2,2,4.0,BK0113;BK0209
mitochondrial aconitase,2,2,4.0,BK0229;BK0237
mitochondrial damage,2,2,4.0,BK0200;BK0300
mitochondrial metabolism,2,2,4.0,BK0160;BK0300
mitochondrial proteins,2,2,4.0,BK0197;BK0303
mitochondrial proteome,2,2,4.0,BK0148;BK0303
mitochondrial respiration,2,2,4.0,BK0112;BK0203
mode action,2,2,4.0,BK0018;BK0339
model human,2,2,4.0,BK0079;BK0261
model systems,2,2,4.0,BK0057;BK0278
modifications amino,2,2,4.0,BK0002;BK0174
modifications chromatin,2,2,4.0,BK0084;BK0295
modified protein,2,2,4.0,BK0274;BK0290
modified ubiquitin,2,2,4.0,BK0002;BK0363
modified ubls,2,2,4.0,BK0336;BK0354
modifier isg15,2,2,4.0,BK0044;BK0317
modulates hif,2,2,4.0,BK0268;BK0327
molecular dynamics,2,2,4.0,BK0022;BK0188
molecular features,2,2,4.0,BK0166;BK0257
molecular mechanism,2,2,4.0,BK0182;BK0184
molecular pathways,2,2,4.0,BK0011;BK0122
molecular phenotypes,2,2,4.0,BK0039;BK0052
molecular signature,2,2,4.0,BK0003;BK0138
molecule dub,2,2,4.0,BK0256;BK0272
molecule inhibitor,2,2,4.0,BK0056;BK0251
monoclonal antibodies,2,2,4.0,BK0155;BK0217
monocytes patients,2,2,4.0,BK0050;BK0312
morbidity mortality,2,2,4.0,BK0093;BK0136
motor neuron,2,2,4.0,BK0079;BK0122
mouse development,2,2,4.0,BK0127;BK0231
multifunctional regulator,2,2,4.0,BK0061;BK0104
multiple molecular,2,2,4.0,BK0083;BK0122
multiple sites,2,2,4.0,BK0108;BK0216
multiply hydroxylated,2,2,4.0,BK0273;BK0316
murine deficient,2,2,4.0,BK0237;BK0271
mutant protein,2,2,4.0,BK0261;BK0353
mutant proteins,2,2,4.0,BK0064;BK0353
mutations affect,2,2,4.0,BK0029;BK0040
mutations sites,2,2,4.0,BK0302;BK0353
myosin heavy,2,2,4.0,BK0005;BK0335
nanoparticle tracking,2,2,4.0,BK0082;BK0145
natural history,2,2,4.0,BK0051;BK0111
need tools,2,2,4.0,BK0346;BK0348
negative feedback,2,2,4.0,BK0133;BK0291
neuroblastoma cell,2,2,4.0,BK0042;BK0092
neurodegenerative disorders,2,2,4.0,BK0042;BK0283
neurological complication,2,2,4.0,BK0137;BK0138
neurological disorders,2,2,4.0,BK0017;BK0090
newly synthesized,2,2,4.0,BK0201;BK0293
normal cells,2,2,4.0,BK0135;BK0208
normothermic kidney,2,2,4.0,BK0008;BK0075
nuclear antigen,2,2,4.0,BK0132;BK0264
nuclear export,2,2,4.0,BK0016;BK0320
nuclear factor,2,2,4.0,BK0147;BK0287
nuclear pabpn1,2,2,4.0,BK0016;BK0104
nuclear protein,2,2,4.0,BK0016;BK0315
nucleus contribute,2,2,4.0,BK0182;BK0353
obstructive pulmonary,2,2,4.0,BK0120;BK0206
obtained patients,2,2,4.0,BK0198;BK0230
occur cells,2,2,4.0,BK0162;BK0184
offspring production,2,2,4.0,BK0098;BK0106
ogfod1 catalyzes,2,2,4.0,BK0223;BK0225
operating characteristic,2,2,4.0,BK0219;BK0257
operating characteristics,2,2,4.0,BK0051;BK0093
orchestrated changes,2,2,4.0,BK0303;BK0308
order achieve,2,2,4.0,BK0073;BK0337
organisation cellular,2,2,4.0,BK0039;BK0085
otub1 knockdown,2,2,4.0,BK0211;BK0306
otub1 otub2,2,2,4.0,BK0213;BK0317
outcome infection,2,2,4.0,BK0038;BK0230
outcome measure,2,2,4.0,BK0081;BK0292
overlapping cdna,2,2,4.0,BK0372;BK0373
oxoglutarate oxygenase,2,2,4.0,BK0264;BK0277
oxoglutarate oxygenases,2,2,4.0,BK0226;BK0270
oxygenase catalyzes,2,2,4.0,BK0143;BK0226
p53 activity,2,2,4.0,BK0203;BK0319
p97 atpase,2,2,4.0,BK0069;BK0090
p97 vcp,2,2,4.0,BK0069;BK0228
pain infertility,2,2,4.0,BK0011;BK0292
parasite proteins,2,2,4.0,BK0239;BK0266
participation binding,2,2,4.0,BK0367;BK0368
pathogenic mechanism,2,2,4.0,BK0050;BK0218
pathogens human,2,2,4.0,BK0125;BK0204
pathological changes,2,2,4.0,BK0057;BK0111
pathological hallmark,2,2,4.0,BK0020;BK0063
pathophysiology human,2,2,4.0,BK0129;BK0189
pathway proteomic,2,2,4.0,BK0116;BK0197
pathway regulates,2,2,4.0,BK0163;BK0302
pathway responsible,2,2,4.0,BK0119;BK0202
pathway thereby,2,2,4.0,BK0061;BK0065
pathways contribute,2,2,4.0,BK0084;BK0320
patient prognosis,2,2,4.0,BK0113;BK0124
patient serum,2,2,4.0,BK0128;BK0236
patient women,2,2,4.0,BK0081;BK0292
patients als,2,2,4.0,BK0068;BK0122
patients cancer,2,2,4.0,BK0034;BK0037
patients controls,2,2,4.0,BK0082;BK0266
patients disease,2,2,4.0,BK0077;BK0210
patients osteoarthritis,2,2,4.0,BK0151;BK0181
patients patients,2,2,4.0,BK0151;BK0154
pbcs syipsaeki,2,2,4.0,BK0367;BK0368
peptide binding,2,2,4.0,BK0218;BK0371
peptide fragments,2,2,4.0,BK0047;BK0090
peptide loading,2,2,4.0,BK0010;BK0365
peptide mixtures,2,2,4.0,BK0337;BK0371
peptide pbcs,2,2,4.0,BK0367;BK0368
peptide substrates,2,2,4.0,BK0364;BK0365
peptide syipsaeki,2,2,4.0,BK0366;BK0369
peptides containing,2,2,4.0,BK0080;BK0181
peptides metabolites,2,2,4.0,BK0248;BK0257
peptides presented,2,2,4.0,BK0125;BK0324
peptidyl arginine,2,2,4.0,BK0169;BK0175
peptidylarginine deiminase,2,2,4.0,BK0123;BK0206
per day,2,2,4.0,BK0046;BK0172
perforin cytotoxicity,2,2,4.0,BK0367;BK0369
performance ejaculate,2,2,4.0,BK0086;BK0106
performed longitudinal,2,2,4.0,BK0008;BK0068
performed proteomic,2,2,4.0,BK0202;BK0229
perfusion hmp,2,2,4.0,BK0049;BK0070
perfusion nmp,2,2,4.0,BK0008;BK0075
permit assessment,2,2,4.0,BK0368;BK0370
pharmacological targets,2,2,4.0,BK0103;BK0283
phosphorylation kinase,2,2,4.0,BK0320;BK0322
phosphorylation sites,2,2,4.0,BK0280;BK0306
photoreactive peptide,2,2,4.0,BK0366;BK0369
physical functional,2,2,4.0,BK0134;BK0322
physiology behavior,2,2,4.0,BK0064;BK0114
pipeline cpfp,2,2,4.0,BK0274;BK0297
plasma membrane,2,2,4.0,BK0017;BK0301
plasma viral,2,2,4.0,BK0215;BK0298
plays central,2,2,4.0,BK0190;BK0253
point mutation,2,2,4.0,BK0073;BK0163
poly binding,2,2,4.0,BK0079;BK0104
polymerase beta,2,2,4.0,BK0293;BK0318
polyubiquitylated proteins,2,2,4.0,BK0272;BK0304
porcine cells,2,2,4.0,BK0260;BK0267
positive feedback,2,2,4.0,BK0094;BK0240
postmating responses,2,2,4.0,BK0064;BK0098
potent inhibitors,2,2,4.0,BK0032;BK0364
potential diagnostic,2,2,4.0,BK0093;BK0292
potential possible,2,2,4.0,BK0283;BK0352
potential source,2,2,4.0,BK0051;BK0082
prc1 polycomb,2,2,4.0,BK0167;BK0190
prc1 target,2,2,4.0,BK0167;BK0231
predispose hereditary,2,2,4.0,BK0229;BK0271
presence abundance,2,2,4.0,BK0027;BK0114
presentation infection,2,2,4.0,BK0176;BK0204
presented histocompatibility,2,2,4.0,BK0324;BK0357
presenting cells,2,2,4.0,BK0357;BK0361
prior kidney,2,2,4.0,BK0052;BK0088
proapoptotic factor,2,2,4.0,BK0344;BK0347
probe specific,2,2,4.0,BK0342;BK0363
probes applied,2,2,4.0,BK0256;BK0348
probes generated,2,2,4.0,BK0235;BK0359
processing cell,2,2,4.0,BK0040;BK0317
profile proteins,2,2,4.0,BK0120;BK0152
profiles urine,2,2,4.0,BK0049;BK0292
profiling dubs,2,2,4.0,BK0046;BK0234
profiling performance,2,2,4.0,BK0282;BK0312
profiling plasma,2,2,4.0,BK0014;BK0138
prognostic biomarkers,2,2,4.0,BK0027;BK0124
progression dna,2,2,4.0,BK0004;BK0184
proliferation vitro,2,2,4.0,BK0200;BK0371
promising drug,2,2,4.0,BK0012;BK0028
promotes resection,2,2,4.0,BK0071;BK0216
promoting cell,2,2,4.0,BK0069;BK0126
propose model,2,2,4.0,BK0011;BK0310
protease usp18,2,2,4.0,BK0009;BK0045
protease usp30,2,2,4.0,BK0018;BK0042
protease usp7,2,2,4.0,BK0165;BK0227
proteases cleave,2,2,4.0,BK0179;BK0213
proteases contribute,2,2,4.0,BK0323;BK0361
proteasome subunits,2,2,4.0,BK0296;BK0324
proteasome transporter,2,2,4.0,BK0325;BK0349
protein abundant,2,2,4.0,BK0083;BK0140
protein accumulation,2,2,4.0,BK0028;BK0104
protein acetylation,2,2,4.0,BK0104;BK0221
protein changes,2,2,4.0,BK0052;BK0210
protein family,2,2,4.0,BK0285;BK0306
protein folding,2,2,4.0,BK0072;BK0153
protein forms,2,2,4.0,BK0168;BK0282
protein function,2,2,4.0,BK0152;BK0313
protein gene,2,2,4.0,BK0055;BK0308
protein hsp,2,2,4.0,BK0303;BK0334
protein interactions,2,2,4.0,BK0079;BK0134
protein involved,2,2,4.0,BK0269;BK0355
protein jmjd6,2,2,4.0,BK0224;BK0315
protein kinases,2,2,4.0,BK0290;BK0320
protein modifications,2,2,4.0,BK0054;BK0221
protein phosphatase,2,2,4.0,BK0004;BK0253
protein prb,2,2,4.0,BK0162;BK0280
protein response,2,2,4.0,BK0052;BK0319
protein sequences,2,2,4.0,BK0188;BK0199
protein serum,2,2,4.0,BK0257;BK0298
protein signature,2,2,4.0,BK0038;BK0068
protein signatures,2,2,4.0,BK0003;BK0005
protein translation,2,2,4.0,BK0153;BK0226
proteins abundance,2,2,4.0,BK0120;BK0282
proteins affect,2,2,4.0,BK0064;BK0084
proteins cells,2,2,4.0,BK0159;BK0286
proteins contribute,2,2,4.0,BK0083;BK0237
proteins detected,2,2,4.0,BK0204;BK0331
proteins discussed,2,2,4.0,BK0169;BK0256
proteins function,2,2,4.0,BK0190;BK0327
proteins fundamental,2,2,4.0,BK0146;BK0250
proteins known,2,2,4.0,BK0114;BK0263
proteins pathways,2,2,4.0,BK0039;BK0221
proteins peptides,2,2,4.0,BK0248;BK0311
proteins potential,2,2,4.0,BK0241;BK0266
proteins proteasome,2,2,4.0,BK0212;BK0325
proteins proteins,2,2,4.0,BK0082;BK0210
proteins resulting,2,2,4.0,BK0087;BK0169
proteins small,2,2,4.0,BK0152;BK0257
proteolytic cleavage,2,2,4.0,BK0064;BK0285
proteolytic enzymes,2,2,4.0,BK0323;BK0361
proteome profiles,2,2,4.0,BK0171;BK0263
proteome profiling,2,2,4.0,BK0087;BK0120
proteomic changes,2,2,4.0,BK0014;BK0189
proteomic human,2,2,4.0,BK0149;BK0308
proteomic proteolytic,2,2,4.0,BK0049;BK0242
proteomic signatures,2,2,4.0,BK0137;BK0186
proteomic techniques,2,2,4.0,BK0002;BK0062
proteomic transcriptomic,2,2,4.0,BK0050;BK0078
proteomics active,2,2,4.0,BK0345;BK0356
proteomics human,2,2,4.0,BK0027;BK0039
pulmonary disease,2,2,4.0,BK0120;BK0206
purified human,2,2,4.0,BK0269;BK0273
purified ubiquitin,2,2,4.0,BK0265;BK0318
quality control,2,2,4.0,BK0074;BK0085
quantify proteins,2,2,4.0,BK0239;BK0257
quantitative expression,2,2,4.0,BK0282;BK0312
rapid complex,2,2,4.0,BK0368;BK0370
rapid diagnostic,2,2,4.0,BK0038;BK0239
reaction monitoring,2,2,4.0,BK0063;BK0239
reading frame,2,2,4.0,BK0209;BK0373
receptor binding,2,2,4.0,BK0001;BK0366
recognition cpg,2,2,4.0,BK0127;BK0262
recombinant proteins,2,2,4.0,BK0270;BK0321
recombinant vaccinia,2,2,4.0,BK0218;BK0289
recruitment activation,2,2,4.0,BK0071;BK0301
red blood,2,2,4.0,BK0120;BK0300
reduced cell,2,2,4.0,BK0209;BK0302
reduced inflammation,2,2,4.0,BK0032;BK0075
reflects increased,2,2,4.0,BK0002;BK0252
regulate gene,2,2,4.0,BK0127;BK0246
regulate transcription,2,2,4.0,BK0084;BK0121
regulated oxygen,2,2,4.0,BK0223;BK0286
regulated proteins,2,2,4.0,BK0143;BK0281
regulates cellular,2,2,4.0,BK0269;BK0291
regulates differentiation,2,2,4.0,BK0045;BK0305
regulates protein,2,2,4.0,BK0152;BK0163
regulating dna,2,2,4.0,BK0069;BK0293
regulating gene,2,2,4.0,BK0084;BK0295
regulation mitochondrial,2,2,4.0,BK0148;BK0203
regulation protein,2,2,4.0,BK0282;BK0313
regulation remains,2,2,4.0,BK0084;BK0190
regulator cellular,2,2,4.0,BK0162;BK0203
regulator mrna,2,2,4.0,BK0083;BK0104
regulatory domain,2,2,4.0,BK0017;BK0228
regulatory metabolic,2,2,4.0,BK0085;BK0221
regulatory step,2,2,4.0,BK0095;BK0331
relapsed refractory,2,2,4.0,BK0251;BK0342
remain largely,2,2,4.0,BK0048;BK0252
remains elusive,2,2,4.0,BK0033;BK0142
renal transplantation,2,2,4.0,BK0052;BK0254
repair dna,2,2,4.0,BK0026;BK0216
repeat domains,2,2,4.0,BK0279;BK0327
repeat proteins,2,2,4.0,BK0279;BK0316
replication dna,2,2,4.0,BK0146;BK0295
replication repair,2,2,4.0,BK0179;BK0201
report mass,2,2,4.0,BK0115;BK0309
represents robust,2,2,4.0,BK0092;BK0166
reproductive age,2,2,4.0,BK0011;BK0078
reproductive success,2,2,4.0,BK0021;BK0064
required cell,2,2,4.0,BK0026;BK0368
required efficient,2,2,4.0,BK0178;BK0280
required genome,2,2,4.0,BK0269;BK0293
resemble human,2,2,4.0,BK0189;BK0267
residue transcriptional,2,2,4.0,BK0273;BK0279
residues citrulline,2,2,4.0,BK0123;BK0175
residues positions,2,2,4.0,BK0195;BK0215
residues protein,2,2,4.0,BK0133;BK0287
respiratory function,2,2,4.0,BK0112;BK0148
respond changes,2,2,4.0,BK0106;BK0169
response animals,2,2,4.0,BK0223;BK0288
response competition,2,2,4.0,BK0106;BK0286
response pathway,2,2,4.0,BK0287;BK0312
response replication,2,2,4.0,BK0071;BK0212
responses pathogens,2,2,4.0,BK0176;BK0371
responses patients,2,2,4.0,BK0151;BK0255
resulted downregulation,2,2,4.0,BK0158;BK0326
resulted elevated,2,2,4.0,BK0094;BK0160
resulted reduced,2,2,4.0,BK0142;BK0209
resulting reduced,2,2,4.0,BK0045;BK0158
retention dair,2,2,4.0,BK0154;BK0172
review highlight,2,2,4.0,BK0028;BK0054
rheumatic disease,2,2,4.0,BK0255;BK0257
rmi1 rmi2,2,2,4.0,BK0024;BK0071
rmi2 form,2,2,4.0,BK0024;BK0071
rna binding,2,2,4.0,BK0079;BK0331
rna interference,2,2,4.0,BK0310;BK0321
rna metabolism,2,2,4.0,BK0016;BK0068
rna processing,2,2,4.0,BK0016;BK0317
robust biomarker,2,2,4.0,BK0092;BK0271
ros production,2,2,4.0,BK0078;BK0148
saa1 saa2,2,2,4.0,BK0014;BK0088
samples derived,2,2,4.0,BK0166;BK0254
samples patients,2,2,4.0,BK0023;BK0210
samples taken,2,2,4.0,BK0070;BK0114
sarcomeric proteins,2,2,4.0,BK0045;BK0083
scf ubiquitin,2,2,4.0,BK0004;BK0192
scientific community,2,2,4.0,BK0171;BK0267
screen performed,2,2,4.0,BK0229;BK0298
selected proteins,2,2,4.0,BK0165;BK0282
selectivity compounds,2,2,4.0,BK0324;BK0346
selectivity towards,2,2,4.0,BK0156;BK0364
sensitivity response,2,2,4.0,BK0106;BK0308
sensory neuron,2,2,4.0,BK0017;BK0134
separation peptides,2,2,4.0,BK0222;BK0337
sequence homology,2,2,4.0,BK0181;BK0359
sequences yet,2,2,4.0,BK0176;BK0289
severe malaria,2,2,4.0,BK0219;BK0239
severe neurological,2,2,4.0,BK0137;BK0138
severely impaired,2,2,4.0,BK0072;BK0367
shock protein,2,2,4.0,BK0303;BK0334
signal transduction,2,2,4.0,BK0182;BK0192
signaling activation,2,2,4.0,BK0192;BK0367
signaling acts,2,2,4.0,BK0050;BK0192
signaling events,2,2,4.0,BK0110;BK0182
signalling events,2,2,4.0,BK0043;BK0169
since inception,2,2,4.0,BK0173;BK0299
single cell,2,2,4.0,BK0159;BK0341
sites modification,2,2,4.0,BK0313;BK0318
small modifier,2,2,4.0,BK0152;BK0317
small protein,2,2,4.0,BK0103;BK0108
small subset,2,2,4.0,BK0021;BK0182
sodium dodecyl,2,2,4.0,BK0337;BK0352
somatic cell,2,2,4.0,BK0135;BK0267
source biomarkers,2,2,4.0,BK0082;BK0186
specific biomarker,2,2,4.0,BK0093;BK0229
specific contributions,2,2,4.0,BK0098;BK0101
specific inhibitor,2,2,4.0,BK0069;BK0074
specific residues,2,2,4.0,BK0250;BK0279
specific target,2,2,4.0,BK0009;BK0167
spectrometry detection,2,2,4.0,BK0109;BK0254
spectrometry proteomic,2,2,4.0,BK0027;BK0082
spectrometry rapid,2,2,4.0,BK0120;BK0359
spectrometry workflow,2,2,4.0,BK0051;BK0176
sperm storage,2,2,4.0,BK0064;BK0098
spondylitis common,2,2,4.0,BK0255;BK0257
sporadic forms,2,2,4.0,BK0042;BK0210
stable isotope,2,2,4.0,BK0202;BK0316
starting emerge,2,2,4.0,BK0073;BK0227
still unclear,2,2,4.0,BK0061;BK0071
strategies targeting,2,2,4.0,BK0029;BK0113
structure function,2,2,4.0,BK0001;BK0013
structure human,2,2,4.0,BK0195;BK0213
subjected min,2,2,4.0,BK0032;BK0136
subsequent resolution,2,2,4.0,BK0074;BK0090
subset proteins,2,2,4.0,BK0044;BK0311
substantially less,2,2,4.0,BK0205;BK0322
subunits complex,2,2,4.0,BK0112;BK0141
succination proteins,2,2,4.0,BK0229;BK0271
sup cells,2,2,4.0,BK0015;BK0080
support development,2,2,4.0,BK0014;BK0019
support model,2,2,4.0,BK0016;BK0092
supported immunoblotting,2,2,4.0,BK0116;BK0309
supporting idea,2,2,4.0,BK0114;BK0139
suppressor gene,2,2,4.0,BK0261;BK0301
surface molecules,2,2,4.0,BK0120;BK0321
surprisingly despite,2,2,4.0,BK0150;BK0289
survival hazard,2,2,4.0,BK0027;BK0122
sustained expression,2,2,4.0,BK0094;BK0241
syndrome complex,2,2,4.0,BK0068;BK0071
syndrome helicase,2,2,4.0,BK0024;BK0071
syndrome rare,2,2,4.0,BK0129;BK0161
synovial fluid,2,2,4.0,BK0171;BK0341
take place,2,2,4.0,BK0026;BK0220
target biomarker,2,2,4.0,BK0158;BK0232
target therapeutic,2,2,4.0,BK0017;BK0067
target therapy,2,2,4.0,BK0095;BK0164
targeted dna,2,2,4.0,BK0011;BK0320
targeted proteomic,2,2,4.0,BK0111;BK0239
targeted therapeutic,2,2,4.0,BK0011;BK0270
targeting modified,2,2,4.0,BK0264;BK0267
tcr beta,2,2,4.0,BK0015;BK0341
termination efficiency,2,2,4.0,BK0223;BK0226
tetrahydrobiopterin modulates,2,2,4.0,BK0112;BK0141
therapeutic agents,2,2,4.0,BK0196;BK0351
therapeutic development,2,2,4.0,BK0011;BK0013
therapeutic opportunities,2,2,4.0,BK0018;BK0077
therapeutic potential,2,2,4.0,BK0065;BK0100
therapeutic strategies,2,2,4.0,BK0029;BK0267
therapeutic trials,2,2,4.0,BK0057;BK0122
thereby opening,2,2,4.0,BK0061;BK0135
thereby regulating,2,2,4.0,BK0069;BK0157
throughput capabilities,2,2,4.0,BK0056;BK0337
thumb palm,2,2,4.0,BK0018;BK0042
thus define,2,2,4.0,BK0097;BK0115
tissue origin,2,2,4.0,BK0255;BK0345
tissue proteomics,2,2,4.0,BK0051;BK0136
tissue slices,2,2,4.0,BK0032;BK0039
topoisomerase iii,2,2,4.0,BK0024;BK0071
total cell,2,2,4.0,BK0080;BK0343
total proteins,2,2,4.0,BK0255;BK0257
transcription translation,2,2,4.0,BK0017;BK0079
transforming growth,2,2,4.0,BK0032;BK0047
transgenic pig,2,2,4.0,BK0140;BK0260
transgenic porcine,2,2,4.0,BK0140;BK0260
translation termination,2,2,4.0,BK0223;BK0225
transmembrane domain,2,2,4.0,BK0085;BK0117
transport pathways,2,2,4.0,BK0020;BK0079
transporter antigen,2,2,4.0,BK0325;BK0349
treating cancer,2,2,4.0,BK0227;BK0283
treatment options,2,2,4.0,BK0076;BK0267
triggers apoptosis,2,2,4.0,BK0019;BK0319
trypsin elastase,2,2,4.0,BK0150;BK0159
tryptic digestion,2,2,4.0,BK0282;BK0352
tumor domain,2,2,4.0,BK0213;BK0348
tumor necrosis,2,2,4.0,BK0260;BK0342
tumour cells,2,2,4.0,BK0126;BK0252
tumours causes,2,2,4.0,BK0209;BK0229
turnover cellular,2,2,4.0,BK0091;BK0357
type ubiquitin,2,2,4.0,BK0107;BK0278
types substrate,2,2,4.0,BK0002;BK0286
tyrosine kinase,2,2,4.0,BK0322;BK0367
tyrosine residue,2,2,4.0,BK0096;BK0310
ubiquitin conjugating,2,2,4.0,BK0012;BK0141
ubiquitin like,2,2,4.0,BK0044;BK0354
ubiquitin processing,2,2,4.0,BK0067;BK0336
ubiquitin small,2,2,4.0,BK0091;BK0103
ubiquitinated proteins,2,2,4.0,BK0249;BK0313
ubiquitinated substrates,2,2,4.0,BK0069;BK0232
ubiquitylation degradation,2,2,4.0,BK0107;BK0192
ubl processing,2,2,4.0,BK0323;BK0348
ubls plays,2,2,4.0,BK0336;BK0354
ulcerative colitis,2,2,4.0,BK0061;BK0182
undergoes posttranslational,2,2,4.0,BK0223;BK0315
undergoing laparoscopic,2,2,4.0,BK0014;BK0292
underlying mechanisms,2,2,4.0,BK0124;BK0244
underlying pathology,2,2,4.0,BK0137;BK0182
understand biological,2,2,4.0,BK0091;BK0248
understand underlying,2,2,4.0,BK0124;BK0137
understanding protective,2,2,4.0,BK0080;BK0131
unique peptides,2,2,4.0,BK0159;BK0204
unstressed cells,2,2,4.0,BK0202;BK0253
upon inhibition,2,2,4.0,BK0175;BK0322
ups key,2,2,4.0,BK0028;BK0045
urinary proteome,2,2,4.0,BK0049;BK0281
urine replacement,2,2,4.0,BK0008;BK0075
usp30 complex,2,2,4.0,BK0018;BK0042
usp7 inhibition,2,2,4.0,BK0165;BK0227
usp7 inhibitor,2,2,4.0,BK0251;BK0272
vaccinia virus,2,2,4.0,BK0204;BK0218
validated prospectively,2,2,4.0,BK0138;BK0239
validation external,2,2,4.0,BK0124;BK0166
valuable tools,2,2,4.0,BK0056;BK0354
variety cellular,2,2,4.0,BK0157;BK0345
vast diversity,2,2,4.0,BK0187;BK0289
vesicles evs,2,2,4.0,BK0082;BK0145
video abstract,2,2,4.0,BK0067;BK0104
viral epitope,2,2,4.0,BK0066;BK0218
viral infections,2,2,4.0,BK0009;BK0044
viral protein,2,2,4.0,BK0176;BK0254
viral rna,2,2,4.0,BK0240;BK0298
vitro binding,2,2,4.0,BK0022;BK0314
vitro characterization,2,2,4.0,BK0042;BK0058
vivo models,2,2,4.0,BK0046;BK0055
warm ischaemia,2,2,4.0,BK0032;BK0136
weak agonists,2,2,4.0,BK0368;BK0370
western blotting,2,2,4.0,BK0030;BK0111
whole cell,2,2,4.0,BK0204;BK0350
women endometriosis,2,2,4.0,BK0081;BK0292
women reproductive,2,2,4.0,BK0011;BK0078
workflow increases,2,2,4.0,BK0056;BK0103
