term,documentFrequency,termFrequency,documentShare,score,sourceIds
tandem,22,25,0.058981,104.607525,BK0038;BK0051;BK0088;BK0093;BK0122;BK0125;BK0132;BK0149
increase,22,24,0.058981,103.409674,BK0020;BK0046;BK0055;BK0105;BK0106;BK0108;BK0133;BK0148
fluid,19,41,0.050938,103.09903,BK0021;BK0027;BK0038;BK0064;BK0081;BK0082;BK0086;BK0093
lysine,20,33,0.053619,102.58566,BK0001;BK0091;BK0096;BK0105;BK0108;BK0143;BK0153;BK0156
probes,19,40,0.050938,102.454031,BK0035;BK0046;BK0055;BK0056;BK0103;BK0234;BK0235;BK0256
derived,21,27,0.0563,102.017601,BK0039;BK0053;BK0062;BK0081;BK0088;BK0108;BK0123;BK0155
chains,19,39,0.050938,101.793488,BK0002;BK0073;BK0091;BK0115;BK0147;BK0177;BK0179;BK0187
biochemical,22,22,0.058981,100.869175,BK0001;BK0012;BK0018;BK0042;BK0100;BK0103;BK0113;BK0143
due,22,22,0.058981,100.869175,BK0010;BK0013;BK0016;BK0021;BK0024;BK0040;BK0050;BK0109
implicated,22,22,0.058981,100.869175,BK0017;BK0028;BK0031;BK0051;BK0058;BK0076;BK0116;BK0122
poorly,22,22,0.058981,100.869175,BK0005;BK0011;BK0026;BK0029;BK0065;BK0084;BK0085;BK0095
kidney,17,57,0.045576,100.004932,BK0008;BK0014;BK0032;BK0047;BK0049;BK0052;BK0070;BK0075
cysteine,20,30,0.053619,100.0,BK0018;BK0073;BK0103;BK0105;BK0133;BK0141;BK0207;BK0216
progression,20,30,0.053619,100.0,BK0004;BK0019;BK0027;BK0051;BK0107;BK0122;BK0123;BK0124
tissues,20,30,0.053619,100.0,BK0011;BK0052;BK0055;BK0082;BK0095;BK0098;BK0132;BK0171
context,21,25,0.0563,99.852638,BK0006;BK0039;BK0043;BK0045;BK0053;BK0056;BK0062;BK0066
absence,21,24,0.0563,98.709234,BK0024;BK0026;BK0045;BK0064;BK0072;BK0074;BK0095;BK0170
profiles,21,24,0.0563,98.709234,BK0005;BK0015;BK0020;BK0039;BK0045;BK0047;BK0049;BK0052
apoptosis,19,34,0.050938,98.228575,BK0019;BK0041;BK0065;BK0116;BK0158;BK0203;BK0232;BK0233
linked,21,23,0.0563,97.52098,BK0017;BK0028;BK0059;BK0085;BK0102;BK0115;BK0117;BK0120
primary,20,27,0.053619,97.15962,BK0015;BK0031;BK0048;BK0063;BK0079;BK0111;BK0113;BK0122
death,19,32,0.050938,96.661794,BK0019;BK0024;BK0041;BK0047;BK0049;BK0070;BK0075;BK0111
thereby,21,22,0.0563,96.284213,BK0007;BK0018;BK0022;BK0029;BK0042;BK0061;BK0065;BK0069
dub,19,31,0.050938,95.843488,BK0009;BK0018;BK0028;BK0035;BK0055;BK0056;BK0073;BK0077
differences,20,25,0.053619,95.09775,BK0049;BK0075;BK0099;BK0116;BK0119;BK0163;BK0183;BK0215
reported,20,25,0.053619,95.09775,BK0009;BK0010;BK0022;BK0031;BK0087;BK0098;BK0111;BK0114
